Method,Complexity,Big-O Notation
AUCP,Quadratic,~1e-8*n^2
BOOT,Quadratic,~1e-8*n^2
CHAU,Linear,~1e-8*n
CLF,Quadratic,~1e-8*n^2
CLUST,Quadratic,~1e-8*n^2
CPD,Quadratic,~1e-8*n^2
DECOMP,Linear,~1e-4*n
DSN,Linear,~1e-4*n
EB,Lineararithmic,~1e-6*n*log(n)
FGD,Lineararithmic,~1e-5*n*log(n)
FILTER,Quadratic,~1e-11*n^2
FWFM,Lineararithmic,~1e-5*n*log(n)
GAMGMM,Quadratic,~1e-6*n^2
GESD,Quadratic,~1e-9*n^2
HIST,Linear,~1e-8*n
IQR,Linear,~1e-8*n
KARCH,Lineararithmic,~1e-5*n*log(n)
MAD,Linear,~1e-8*n
MCST,Quadratic,~1e-7*n^2
META,Cubic,~1e-12*n^3
MIXMOD,Linear,~1e-3*n
MOLL,Lineararithmic,~1e-7*n*log(n)
MTT,Quadratic,~1e-10*n^2
OCSVM,Linear,~1e-7*n
QMCD,Quadratic,~1e-9*n^2
REGR,Quadratic,~1e-8*n^2
VAE,Linear,~1e-3*n
WIND,Linear,~1e-4*n
YJ,Linear,~1e-4*n
ZSCORE,Linear,~1e-8*n
